text,category,alias,verdict,gain,heard_without_dict,heard_with_dict,sentence,judge_reason,stored_verdict,stt_model
LP,acronym,lumbar puncture,HELPS,0.287,The patient has a history of LP.,The patient has a history of lumbar puncture.,The patient has a history of LP.,"The dictionary successfully expanded the acronym ""LP"" to its full form ""lumbar puncture,"" which the without-dictionary version left as the unexpanded acronym.",HELPS,
BM,acronym,bowel movement,HELPS,0.265,The patient has a history of BM.,The patient has a history of bowel movement.,The patient has a history of BM.,"The dictionary correctly expanded ""BM"" to ""bowel movement,"" which was the intended target, while the without-dictionary version left it as the ambiguous acronym.",HELPS,
PEG,acronym,PEG,WASH,0.0,The patient has a history of PEG.,The patient has a history of PEG.,The patient has a history of PEG.,"Both transcripts are identical and correctly render ""PEG"" as the acronym.",WASH,
ICD,acronym,implantable cardioverter defibrillator,HELPS,0.435,The patient has a history of ICD.,The patient has a history of implantable cardioverter defibrillator.,The patient has a history of ICD.,"The dictionary successfully expanded the acronym to its full form ""implantable cardioverter defibrillator,"" which the without-dictionary version left as the unexpanded acronym ""ICD.""",HELPS,
Pacemaker,acronym,PACE-may-ker,HURTS,-0.067,The patient has a history of pacemaker.,The patient has a history of pace may occur.,The patient has a history of Pacemaker.,"Without dictionary, ""pacemaker"" was correctly transcribed; with dictionary, it was fragmented into ""pace may occur,"" losing the target term entirely.",WASH,
AICD,acronym,automatic implantable cardioverter defibrillator,HELPS,0.445,The patient has a history of AICD.,The patient has a history of automatic implantable cardioverter defibrillator.,The patient has a history of AICD.,"The dictionary successfully expanded the acronym AICD into its full form ""automatic implantable cardioverter defibrillator,"" which the without-dictionary version left as the unexpanded acronym.",HELPS,
CABG,acronym,cabbage,HELPS,0.182,The patient has a history of Ski ABG.,The patient has a history of cabbage.,The patient has a history of CABG.,"The dictionary entry correctly produced ""cabbage"" matching the target pronunciation, while the without-dictionary version produced the garbled ""Ski ABG"".",WASH,
PCI,acronym,percutaneous coronary intervention,HELPS,0.366,The patient has a history of PCI.,The patient has a history of percutaneous coronary intervention.,The patient has a history of PCI.,"The dictionary expanded the acronym to its full form, which the listener correctly transcribed, while the without-dictionary version left it as the unexpanded acronym.",HELPS,
TAVR,acronym,TAH-ver,WASH,0.027,The patient has a history of Tavar.,The patient has a history of TA-Oshfer.,The patient has a history of TAVR.,"Both transcripts fail to recover the target ""TAH-ver""; the dictionary version (""TA-Oshfer"") is arguably worse than the natural ""Tavar"" guess.",HELPS,
TEVAR,acronym,TEV-ar,WASH,-0.045,The patient has a history of Tvar.,The patient has a history of TVR.,The patient has a history of TEVAR.,"Both transcripts fail to recover the correct ""TEV-ar"" pronunciation; the dictionary version produces ""TVR"" which is no closer to the target than ""Tvar.""",HELPS,
EVAR,acronym,EE-var,WASH,-0.006,The patient has a history of Ivar.,The patient has a history of EEVAR.,The patient has a history of EVAR.,"Both transcripts fail to clearly produce the target ""EE-var"" pronunciation; ""Ivar"" is a reasonable approximation and ""EEVAR"" is just a spelled-out acronym without clear pronunciation recovery.",HURTS,
PTCA,acronym,percutaneous transluminal coronary angioplasty,HELPS,0.454,The patient has a history of PTCA.,The patient has a history of percutaneous transluminal coronary angioplasty.,The patient has a history of PTCA.,"The dictionary expanded the acronym to its full form, which the listener without the dictionary left as the unexpanded ""PTCA.""",HELPS,
ETOH,acronym,alcohol,HELPS,0.172,The patient has a history of ETOH.,The patient has a history of alcohol.,The patient has a history of ETOH.,"The dictionary correctly expanded the acronym ""ETOH"" to ""alcohol,"" which is the intended target pronunciation, while the without-dictionary version left the acronym unexpanded.",HELPS,
IVDU,acronym,I-V drug use,HELPS,0.241,The patient has a history of IVDU.,The patient has a history of IV drug use.,The patient has a history of IVDU.,"The dictionary expanded the acronym to its full form ""IV drug use,"" which is the target pronunciation, while the without-dictionary version left it as the unexpanded acronym ""IVDU.""",HELPS,
ASA,acronym,ASPIR-in,HELPS,0.116,The patient has a history of ASA.,The patient has a history of aspirin.,The patient has a history of ASA.,"The dictionary successfully expanded the acronym ""ASA"" to ""aspirin,"" which was the target pronunciation goal, while the version without the dictionary left the acronym unexpanded.",HELPS,
NYD,acronym,not yet diagnosed,HELPS,0.291,The patient has a history of NYD.,The patient has a history of not yet diagnosed.,The patient has a history of NYD.,"The dictionary correctly expanded the acronym ""NYD"" to its full form ""not yet diagnosed,"" which the without-dictionary version left as the unexpanded acronym.",HELPS,
HX,acronym,history,WASH,-0.041,The patient has a history of HX.,The patient has a history of history.,The patient has a history of HX.,"Both transcripts contain the word ""history"" in the same position; the dictionary entry changed ""HX"" to ""history"" but the sentence already had ""history"" before it, so no meaningful improvement in recovering the target term.",HURTS,
Sx,acronym,symptoms,HELPS,0.153,The patient has a history of sex.,The patient has a history of symptoms.,The patient has a history of Sx.,"The dictionary correctly expanded ""Sx"" to ""symptoms,"" while without it the TTS misread the abbreviation as ""sex.""",HELPS,
Tx,acronym,treatment,HELPS,0.034,The patient has a history of TX.,The patient has a history of treatment.,The patient has a history of Tx.,"The dictionary correctly expanded ""Tx"" to ""treatment,"" while the without-dictionary version left it as the ambiguous ""TX.""",HELPS,
Dx,acronym,diagnosis,HELPS,0.131,The patient has a history of DX.,The patient has a history of diagnosis.,The patient has a history of Dx.,"The ""with dictionary"" transcript correctly expands ""Dx"" to ""diagnosis,"" while the ""without dictionary"" transcript leaves it as the unexpanded abbreviation ""DX.""",HELPS,
Rx,acronym,prescription,HELPS,0.263,The patient has a history of Rx.,The patient has a history of prescription.,The patient has a history of Rx.,"The ""with dictionary"" transcript correctly expands ""Rx"" to ""prescription,"" while the ""without dictionary"" transcript left it as the unexpanded abbreviation.",HELPS,
FHx,acronym,family history,WASH,0.057,The patient has a history of FHX.,The patient has a history of family history.,The patient has a history of FHx.,Both transcripts convey the same information; the dictionary version spells out the acronym but doesn't meaningfully improve comprehension of the medical term.,HELPS,
SHx,acronym,social history,WASH,0.057,The patient has a history of SHX.,The patient has a history of social history.,The patient has a history of SHx.,unparsed judge output: 'VERDICT|HELPS',HELPS,
myocardial infarction,clinical,my-oh-KAR-dee-al in-FARK-shun,HURTS,-0.123,The patient was diagnosed with myocardial infarction.,The patient was diagnosed with my OKRDL infarction.,The patient was diagnosed with myocardial infarction.,"The without-dictionary transcript correctly rendered ""myocardial infarction,"" while the with-dictionary transcript garbled it into ""my OKRDL infarction.""",HURTS,
angina pectoris,clinical,an-JY-nah PEK-tor-is,HURTS,-0.112,The patient was diagnosed with angina pectoris.,The patient was diagnosed with N'Jaywai Na Piek Torres.,The patient was diagnosed with angina pectoris.,"Without dictionary, the term ""angina pectoris"" was correctly transcribed; with dictionary, it became garbled nonsense (""N'Jaywai Na Piek Torres""), clearly worse.",WASH,
arrhythmia,clinical,a-RITH-mee-ah,WASH,0.0,The patient was diagnosed with arrhythmia.,"The patient was diagnosed with arrhythmia,",The patient was diagnosed with arrhythmia.,"Both transcripts contain the correct term ""arrhythmia"" with no meaningful difference.",HURTS,
atrial fibrillation,clinical,AY-tree-al fib-ri-LAY-shun,HURTS,-0.154,The patient was diagnosed with atrial fibrillation.,The patient was diagnosed with AYtriol Fibriela Shun.,The patient was diagnosed with atrial fibrillation.,"The without-dictionary transcript correctly rendered ""atrial fibrillation,"" while the with-dictionary transcript mangled it into ""AYtriol Fibriela Shun.""",HURTS,
ventricular fibrillation,clinical,ven-TRIK-yoo-lar fib-ri-LAY-shun,WASH,0.0,The patient was diagnosed with ventricular fibrillation.,The patient was diagnosed with ventricular fibrillation.,The patient was diagnosed with ventricular fibrillation.,"Both transcripts are identical and correctly render the term, so the dictionary made no difference.",WASH,
tachycardia,clinical,tak-ee-KAR-dee-ah,HURTS,-0.143,The patient was diagnosed with tachycardia.,The patient was diagnosed with taikiardia.,The patient was diagnosed with tachycardia.,"The ""without dictionary"" transcript correctly rendered ""tachycardia,"" while the ""with dictionary"" transcript garbled it to ""taikiardia.""",HURTS,
bradycardia,clinical,brad-ee-KAR-dee-ah,HURTS,-0.136,The patient was diagnosed with bradycardia.,The patient was diagnosed with Brad E.K.R. Diah.,The patient was diagnosed with bradycardia.,"The without-dictionary transcript correctly rendered ""bradycardia,"" while the with-dictionary transcript garbled it into ""Brad E.K.R. Diah.""",HURTS,
hypertension,clinical,hy-per-TEN-shun,WASH,0.0,The patient was diagnosed with hypertension.,The patient was diagnosed with hypertension.,The patient was diagnosed with hypertension.,"Both transcripts already correctly rendered ""hypertension"" identically, so the dictionary entry provided no change.",HURTS,
hypotension,clinical,hy-poh-TEN-shun,WASH,0.0,The patient was diagnosed with hypotension.,The patient was diagnosed with hypotension.,The patient was diagnosed with hypotension.,"Both transcripts already correctly produced ""hypotension"" with no difference.",WASH,
atherosclerosis,clinical,ath-er-oh-skleh-ROH-sis,WASH,0.0,The patient was diagnosed with atherosclerosis.,The patient was diagnosed with atherosclerosis.,The patient was diagnosed with atherosclerosis.,"Both transcripts already correctly produced ""atherosclerosis"" with no difference.",HURTS,
endocarditis,clinical,en-doh-kar-DY-tis,WASH,0.0,The patient was diagnosed with endocarditis.,The patient was diagnosed with endocarditis.,The patient was diagnosed with endocarditis.,"Both transcripts already correctly produced ""endocarditis"" with no difference.",HURTS,
pericarditis,clinical,per-ee-kar-DY-tis,WASH,0.0,The patient was diagnosed with pericarditis.,The patient was diagnosed with pericarditis.,The patient was diagnosed with pericarditis.,"Both transcripts already produced the correct term ""pericarditis"" with no difference.",HURTS,
myocarditis,clinical,my-oh-kar-DY-tis,WASH,0.0,The patient was diagnosed with myocarditis.,The patient was diagnosed with myocarditis.,The patient was diagnosed with myocarditis.,"Both transcripts already correctly produced ""myocarditis"" with no difference.",WASH,
cardiomyopathy,clinical,kar-dee-oh-my-OP-ah-thee,WASH,-0.033,The patient was diagnosed with cardiomyopathy.,The patient was diagnosed with kardiomyopathy.,The patient was diagnosed with cardiomyopathy.,"Both transcripts convey the term clearly; the dictionary version's spelling ""kardiomyopathy"" is a minor orthographic variant but doesn't meaningfully improve or hurt comprehension.",WASH,
thromboembolism,clinical,throm-boh-EM-boh-liz-um,WASH,0.0,The patient was diagnosed with thromboembolism.,"The patient was diagnosed with thromboembolism,",The patient was diagnosed with thromboembolism.,"Both transcripts contain the correct term ""thromboembolism"" with no meaningful difference; the only change is a trailing comma.",HURTS,
thrombophlebitis,clinical,throm-boh-fleh-BY-tis,WASH,-0.056,The patient was diagnosed with thromboflebitis.,The patient was diagnosed with thromboflabie-witis.,The patient was diagnosed with thrombophlebitis.,"Both transcripts mispronounce the term; the dictionary version (""thromboflabie-witis"") is not closer to ""thrombophlebitis"" than the non-dictionary version (""thromboflebitis"").",WASH,
phlebitis,clinical,fleh-BY-tis,HURTS,-0.04,The patient was diagnosed with phlebitis.,The patient was diagnosed with Flabiitis.,The patient was diagnosed with phlebitis.,"The without-dictionary transcript already correctly rendered ""phlebitis,"" while the with-dictionary transcript garbled it into ""Flabiitis.""",WASH,
embolism,clinical,EM-boh-liz-um,WASH,-0.059,The patient was diagnosed with embolism.,"The patient was diagnosed with eambolesome,",The patient was diagnosed with embolism.,"Both transcripts fail to clearly render ""embolism"" correctly; the dictionary version is garbled (""eambolesome"") while the without-dictionary version at least contains the correct word, so the dictionary didn't help and arguably hurt, but the similarity gain is near zero.",WASH,
stenosis,clinical,steh-NOH-sis,HURTS,-0.103,The patient was diagnosed with stenosis.,The patient was diagnosed with Stain-OH-Sys.,The patient was diagnosed with stenosis.,"The without-dictionary transcript correctly rendered ""stenosis,"" while the with-dictionary transcript mangled it into ""Stain-OH-Sys.""",HURTS,
regurgitation,clinical,ree-gur-ji-TAY-shun,HURTS,-0.186,The patient was diagnosed with regurgitation.,"The patient was diagnosed with Ri Gergitoi Shun,",The patient was diagnosed with regurgitation.,"Without dictionary, ""regurgitation"" was correctly transcribed; with dictionary, it became garbled nonsense (""Ri Gergitoi Shun"").",WASH,
prolapse,clinical,proh-LAPS,WASH,0.0,The patient was diagnosed with prolapse.,The patient was diagnosed with prolapse.,The patient was diagnosed with prolapse.,"Both transcripts are identical and correctly contain the term ""prolapse.""",WASH,distil-whisper/distil-large-v2
aneurysm,clinical,AN-yoo-riz-um,HURTS,-0.216,The patient was diagnosed with aneurysm.,The patient was diagnosed with ANU rhizome.,The patient was diagnosed with aneurysm.,"The without-dictionary transcript correctly rendered ""aneurysm,"" while the with-dictionary transcript garbled it into ""ANU rhizome.""",HURTS,
dissection,clinical,dy-SEK-shun,WASH,0.0,The patient was diagnosed with dissection.,The patient was diagnosed with dissection.,The patient was diagnosed with dissection.,"Both transcripts are identical and correctly contain the target term ""dissection.""",WASH,
ischemia,clinical,is-KEE-mee-ah,WASH,-0.042,The patient was diagnosed with ischemia.,The patient was diagnosed with izkeemia.,The patient was diagnosed with ischemia.,"Both transcripts are garbled in different ways; the dictionary version ""izkeemia"" is not closer to ""ischemia"" than the original ""ischemia"" (which was already correct).",HURTS,
infarction,clinical,in-FARK-shun,WASH,0.0,The patient was diagnosed with infarction.,The patient was diagnosed with infarction.,The patient was diagnosed with infarction.,"Both transcripts already correctly rendered ""infarction"" identically, so the dictionary entry produced no change.",WASH,
reperfusion,clinical,REE-per-FYOO-zhun,WASH,-0.143,The patient was diagnosed with reperfusion.,The patient was diagnosed with re-per-FYO.,The patient was diagnosed with reperfusion.,"Both transcripts fail to clearly produce the target term ""reperfusion"" — the without-dictionary version spells it out correctly while the with-dictionary version fragments it into ""re-per-FYO,"" so neither is a clear win.",WASH,
hypercholesterolemia,clinical,HY-per-koh-LES-ter-oh-LEE-mee-ah,HURTS,-0.042,The patient was diagnosed with hypercholesterolemia.,The patient was diagnosed with HY-PerCo Lester Olemia.,The patient was diagnosed with hypercholesterolemia.,"The without-dictionary transcript correctly rendered ""hypercholesterolemia,"" while the with-dictionary transcript fragmented it into ""HY-perCo Lester Olemia.""",HURTS,
hypertriglyceridemia,clinical,HY-per-try-GLIS-er-ih-DEE-mee-ah,HURTS,-0.179,The patient was diagnosed with hypertriglyceridemia.,"The patient was diagnosed with HY-Protri, Glyss, Urus, or Edemia.",The patient was diagnosed with hypertriglyceridemia.,"The without-dictionary transcript correctly rendered ""hypertriglyceridemia,"" while the with-dictionary transcript fragmented it into nonsensical pieces.",HURTS,
hypoalbuminemia,clinical,HY-poh-al-BYOO-mih-NEE-mee-ah,HURTS,-0.06,The patient was diagnosed with hypoalbuminemia.,The patient was diagnosed with HY-Poalbio-Ominemia.,The patient was diagnosed with hypoalbuminemia.,"The without-dictionary transcript correctly rendered ""hypoalbuminemia,"" while the with-dictionary transcript fragmented it into ""HY-Poalbio-Ominemia,"" making it worse.",HURTS,
pneumonia,clinical,noo-MOHN-yah,HURTS,-0.101,The patient was diagnosed with pneumonia.,The patient was diagnosed with new moachynya.,The patient was diagnosed with pneumonia.,"Without dictionary, ""pneumonia"" was correctly transcribed; with dictionary, it was garbled into ""new moachynya.""",HURTS,
bronchitis,clinical,brong-KY-tis,WASH,0.0,The patient was diagnosed with bronchitis.,The patient was diagnosed with bronchitis.,The patient was diagnosed with bronchitis.,"Both transcripts already correctly rendered ""bronchitis"" with no change.",WASH,
bronchiectasis,clinical,brong-kee-EK-tah-sis,HURTS,-0.08,The patient was diagnosed with bronchiectasis.,The patient was diagnosed with bronchi-ek-tosis.,The patient was diagnosed with bronchiectasis.,"The without-dictionary transcript correctly produced ""bronchiectasis,"" while the with-dictionary transcript mangled it into ""bronchi-ek-tosis.""",WASH,
emphysema,clinical,em-fih-SEE-mah,WASH,0.0,The patient was diagnosed with emphysema.,The patient was diagnosed with M-physema.,The patient was diagnosed with emphysema.,"Both transcripts fail to clearly render ""emphysema"" correctly; the dictionary version (""M-physema"") is arguably worse than the already-correct ""emphysema"" without dictionary, but since the without-dictionary version was already right, this leans HURTS.",WASH,
pneumothorax,clinical,noo-moh-THOR-aks,HURTS,-0.078,The patient was diagnosed with pneumothorax.,The patient was diagnosed with pneumotar axe.,The patient was diagnosed with pneumothorax.,"The without-dictionary transcript correctly rendered ""pneumothorax,"" while the with-dictionary transcript mangled it into ""pneumotar axe.""",HURTS,
hemothorax,clinical,hee-moh-THOR-aks,HURTS,-0.077,The patient was diagnosed with hemothorax.,The patient was diagnosed with Hemotaraxe.,The patient was diagnosed with hemothorax.,"Without dictionary, ""hemothorax"" was correctly transcribed; with dictionary, it became garbled as ""Hemotaraxe.""",WASH,
pleural effusion,clinical,PLOO-ral eh-FYOO-zhun,HURTS,-0.172,The patient was diagnosed with pleural effusion.,The patient was diagnosed with Plural-Ef-Yon.,The patient was diagnosed with pleural effusion.,"The without-dictionary transcript correctly rendered ""pleural effusion,"" while the with-dictionary transcript garbled it into ""Plural-Ef-Yon.""",WASH,
pleurisy,clinical,PLOO-rih-see,HURTS,-0.125,The patient was diagnosed with pleurisy.,The patient was diagnosed with Plurashi.,The patient was diagnosed with pleurisy.,"The without-dictionary transcript correctly rendered ""pleurisy,"" while the with-dictionary transcript mangled it into ""Plurashi.""",HURTS,
atelectasis,clinical,at-ih-LEK-tah-sis,WASH,-0.015,The patient was diagnosed with atelectasis.,The patient was diagnosed with adahelectasis.,The patient was diagnosed with atelectasis.,"Both transcripts fail to clearly produce ""atelectasis"" — the without-dictionary version is correct, while the with-dictionary version is garbled (""adahelectasis""), but neither shows a clear recovery of the target term.",HURTS,
pulmonary embolism,clinical,PUL-moh-nair-ee EM-bol-izm,HURTS,-0.079,The patient was diagnosed with pulmonary embolism.,The patient was diagnosed with pilmonaire e-embolism.,The patient was diagnosed with pulmonary embolism.,"The without-dictionary transcript correctly rendered ""pulmonary embolism,"" while the with-dictionary transcript garbled it into ""pilmonaire e-embolism.""",WASH,
pulmonary edema,clinical,PUL-moh-nair-ee eh-DEE-mah,WASH,0.0,The patient was diagnosed with pulmonary edema.,The patient was diagnosed with pulmonary edema.,The patient was diagnosed with pulmonary edema.,"Both transcripts already correctly produced ""pulmonary edema"" with no difference.",HURTS,
pulmonary fibrosis,clinical,PUL-moh-nair-ee fy-BROH-sis,HURTS,-0.079,The patient was diagnosed with pulmonary fibrosis.,The patient was diagnosed with PL-Mo nare-E fibrosis.,The patient was diagnosed with pulmonary fibrosis.,"The without-dictionary transcript correctly rendered ""pulmonary fibrosis,"" while the with-dictionary transcript garbled it into ""PL-Mo nare-E fibrosis.""",WASH,
sarcoidosis,clinical,SAR-koy-DOH-sis,HURTS,-0.097,The patient was diagnosed with sarcoidosis.,The patient was diagnosed with sarkoi-do-h-sys.,The patient was diagnosed with sarcoidosis.,"The without-dictionary transcript correctly produced ""sarcoidosis,"" while the with-dictionary transcript mangled it into ""sarkoi-do-h-sys.""",HELPS,
tuberculosis,clinical,too-BER-kyoo-LOH-sis,HURTS,-0.162,The patient was diagnosed with tuberculosis.,The patient was diagnosed with 2 bar Q loachsis.,The patient was diagnosed with tuberculosis.,"The without-dictionary transcript correctly rendered ""tuberculosis,"" while the with-dictionary transcript garbled it into ""2 bar Q loachsis.""",WASH,
hypoxia,clinical,hy-POK-see-ah,WASH,0.0,The patient was diagnosed with hypoxia.,The patient was diagnosed with hypoxia.,The patient was diagnosed with hypoxia.,"Both transcripts already correctly produced ""hypoxia"" without the dictionary, so no change.",WASH,
hypercapnia,clinical,hy-per-KAP-nee-ah,WASH,0.0,The patient was diagnosed with hypercapnia.,The patient was diagnosed with hypercapnia.,The patient was diagnosed with hypercapnia.,"Both transcripts already produced the correct term ""hypercapnia"" with no difference.",WASH,
respiratory failure,clinical,RES-pih-rah-tor-ee FAYL-yer,WASH,-0.008,The patient was diagnosed with respiratory failure.,The patient was diagnosed with re-spiratory failure.,The patient was diagnosed with respiratory failure.,"Both transcripts convey ""respiratory failure"" clearly; the dictionary version's hyphenation is a minor artifact but doesn't change comprehension.",HURTS,
apnea,clinical,AP-nee-ah,WASH,0.0,The patient was diagnosed with apnea.,The patient was diagnosed with apnea.,The patient was diagnosed with apnea.,"Both transcripts already correctly produced ""apnea"" without needing the dictionary.",WASH,
dyspnea,clinical,DISP-nee-ah,WASH,0.0,The patient was diagnosed with dyspnea.,The patient was diagnosed with dyspnea.,The patient was diagnosed with dyspnea.,"Both transcripts already correctly produced ""dyspnea"" with no difference.",WASH,
hemoptysis,clinical,hee-MOP-tih-sis,WASH,-0.038,The patient was diagnosed with hemoptysis.,The patient was diagnosed with hemoptosis.,The patient was diagnosed with hemoptysis.,"Both transcripts are close attempts at the target term, with the dictionary version (""hemoptosis"") being a slight mispronunciation but not clearly worse than the original attempt at ""hemoptysis.""",HURTS,
stridor,clinical,STRY-dor,WASH,-0.049,The patient was diagnosed with Stridor.,The patient was diagnosed with SDR door.,The patient was diagnosed with stridor.,"Both transcripts fail to clearly render ""stridor"" — the without-dictionary version is closer to the target, while the with-dictionary version is garbled (""SDR door""), so the dictionary did not help and arguably hurt slightly, but neither is a clear recovery.",HELPS,
wheezing,clinical,WEE-zing,WASH,-0.042,The patient was diagnosed with wheezing.,The patient was diagnosed with WEE Zing.,The patient was diagnosed with wheezing.,"Both transcripts convey the term ""wheezing"" reasonably; the dictionary version adds a slight mispronunciation (""WEE Zing"") but the meaning is still clear, and the without-dictionary version was already correct.",WASH,
coryza,clinical,koh-RY-zah,WASH,0.0,The patient was diagnosed with Choriza.,The patient was diagnosed with Choriza.,The patient was diagnosed with coryza.,"Both transcripts produced the same incorrect rendering ""Choriza"" with no improvement from the dictionary.",HELPS,
gastroesophageal reflux,clinical,GAS-troh-ee-sof-ah-JEE-al REE-fluks,HURTS,-0.066,The patient was diagnosed with gastroesophageal reflux.,"The patient was diagnosed with GA-Astroesoph, a G-all reflux.",The patient was diagnosed with gastroesophageal reflux.,,WASH,
esophagitis,clinical,ee-sof-ah-JY-tis,HURTS,-0.148,The patient was diagnosed with esophagitis.,The patient was diagnosed with ESOF-Ajytis.,The patient was diagnosed with esophagitis.,"Without dictionary, the term was correctly rendered as ""esophagitis""; with dictionary, it became garbled ""ESOF-Ajytis.""",HELPS,
gastritis,clinical,gas-TRY-tis,WASH,-0.046,The patient was diagnosed with gastritis.,The patient was diagnosed with gas TRYtis.,The patient was diagnosed with gastritis.,"Both attempts are imperfect, but the without-dictionary version produced the correct term ""gastritis"" while the with-dictionary version fragmented it into ""gas TRYtis,"" so the dictionary did not help.",HURTS,
peptic ulcer,clinical,PEP-tik UL-ser,WASH,0.0,The patient was diagnosed with peptic ulcer.,The patient was diagnosed with Peptic Ulcer.,The patient was diagnosed with peptic ulcer.,"Both transcripts contain the correct term ""peptic ulcer""; the only difference is capitalization, which is not a pronunciation issue.",HURTS,
gastroenteritis,clinical,gas-tro-en-ter-EYE-tis,WASH,0.008,The patient was diagnosed with gastroenteritis.,The patient was diagnosed with gastroenteritis,The patient was diagnosed with gastroenteritis.,"Both transcripts are identical and correctly render ""gastroenteritis""; the dictionary entry produced no meaningful change.",WASH,
colitis,clinical,ko-LYE-tis,HURTS,-0.104,The patient was diagnosed with colitis.,The patient was diagnosed with koh-y-e tis.,The patient was diagnosed with colitis.,"The without-dictionary transcript correctly rendered ""colitis,"" while the with-dictionary transcript garbled it into ""koh-y-e tis.""",WASH,
ulcerative colitis,clinical,UL-ser-a-tiv ko-LYE-tis,WASH,-0.044,The patient was diagnosed with ulcerative colitis.,The patient was diagnosed with ulcerative co-yietis.,The patient was diagnosed with ulcerative colitis.,"Both transcripts attempt the term but neither is clean; the dictionary version (""co-yietis"") is actually worse than the natural rendering.",HURTS,
Crohn's disease,clinical,KROHNZ dih-ZEEZ,HURTS,-0.184,The patient was diagnosed with Crohn's disease.,The patient was diagnosed with K-R-O-H-N-Z's.,The patient was diagnosed with Crohn's disease.,"The without-dictionary transcript correctly rendered ""Crohn's disease,"" while the with-dictionary transcript produced a garbled letter-by-letter spelling ""K-R-O-H-N-Z's.""",HURTS,distil-whisper/distil-large-v2
diverticulitis,clinical,dye-ver-tik-yoo-LYE-tis,HURTS,-0.092,The patient was diagnosed with diverticulitis.,The patient was diagnosed with divertic u-y-e-tis.,The patient was diagnosed with diverticulitis.,"The without-dictionary transcript correctly produced ""diverticulitis,"" while the with-dictionary transcript garbled it into ""divertic u-y-e-tis.""",WASH,
appendicitis,clinical,a-pen-dih-SYE-tis,HURTS,-0.174,The patient was diagnosed with appendicitis.,The patient was diagnosed with append-DSYE.,The patient was diagnosed with appendicitis.,"Without dictionary, ""appendicitis"" was correctly rendered; with dictionary, it became garbled as ""append-DSYE.""",HURTS,
cholecystitis,clinical,ko-luh-sis-TYE-tis,HURTS,-0.148,The patient was diagnosed with cholecystitis.,The patient was diagnosed with colusis twiitis.,The patient was diagnosed with cholecystitis.,,WASH,
pancreatitis,clinical,pan-kree-a-TYE-tis,WASH,0.0,The patient was diagnosed with pancreatitis.,The patient was diagnosed with pancreatitis.,The patient was diagnosed with pancreatitis.,"Both transcripts already correctly produced ""pancreatitis"" with no difference.",WASH,
hepatitis,clinical,hep-a-TYE-tis,WASH,0.0,The patient was diagnosed with hepatitis.,The patient was diagnosed with hepatitis.,The patient was diagnosed with hepatitis.,"Both transcripts already correctly produced ""hepatitis"" with no difference.",WASH,
cirrhosis,clinical,sir-OH-sis,HURTS,-0.247,The patient was diagnosed with cirrhosis.,The patient was diagnosed with Sir O.A. Cis.,The patient was diagnosed with cirrhosis.,"The without-dictionary transcript correctly rendered ""cirrhosis,"" while the with-dictionary transcript mangled it into ""Sir O.A. Cis.""",WASH,
cholestasis,clinical,ko-luh-STAY-sis,WASH,-0.037,The patient was diagnosed with cholestasis.,The patient was diagnosed with cholustasis.,The patient was diagnosed with cholestasis.,"Both transcripts are close to the target, with the dictionary version slightly less accurate (""cholustasis"" vs ""cholestasis""), but the difference is minor and neither clearly recovers the term better.",WASH,
steatosis,clinical,stee-a-TOH-sis,HURTS,-0.13,The patient was diagnosed with stetosis.,The patient was diagnosed with STIA2H-Sys.,The patient was diagnosed with steatosis.,"The ""without dictionary"" transcript was close to the correct term (""stetosis""), while the ""with dictionary"" transcript became completely garbled (""STIA2H-Sys"").",WASH,
steatohepatitis,clinical,stee-a-toh-hep-a-TYE-tis,WASH,0.01,The patient was diagnosed with stetohepatitis.,The patient was diagnosed with steatohepatyaitis.,The patient was diagnosed with steatohepatitis.,"Both transcripts are garbled and neither clearly recovers the correct term ""steatohepatitis""; the dictionary version is slightly closer but still wrong.",WASH,
peritonitis,clinical,pair-ih-toh-NYE-tis,HURTS,-0.037,The patient was diagnosed with peritonitis.,The patient was diagnosed with peritoiitis.,The patient was diagnosed with peritonitis.,"The without-dictionary transcript correctly rendered ""peritonitis,"" while the with-dictionary transcript garbled it as ""peritoiitis.""",WASH,
ileus,clinical,IL-ee-us,WASH,0.052,The patient was diagnosed with Ilias.,The patient was diagnosed with ILES.,The patient was diagnosed with ileus.,"Both transcripts miss the target ""ileus""; ""ILES"" is slightly closer than ""Ilias"" but neither recovers the correct term clearly.",HURTS,
intussusception,clinical,in-tuh-suh-SEP-shun,WASH,-0.176,The patient was diagnosed with intussisception.,The patient was diagnosed with IntuSapTsun.,The patient was diagnosed with intussusception.,"Both transcripts fail to clearly produce the correct term ""intussusception""; the without-dictionary version is a minor misspelling (""intussisception"") while the with-dictionary version is garbled (""IntuSapTsun""), so neither meaningfully recovers the target.",HURTS,
volvulus,clinical,VOL-vyoo-lus,WASH,0.0,The patient was diagnosed with volvulus.,The patient was diagnosed with VOLVulus.,The patient was diagnosed with volvulus.,"Both transcripts contain the term ""volvulus"" essentially correctly; the dictionary version just adds capitalization emphasis but doesn't change pronunciation recovery.",WASH,
hematemesis,clinical,hee-ma-TEM-eh-sis,WASH,-0.03,The patient was diagnosed with hematemesis.,The patient was diagnosed with hematemsis.,The patient was diagnosed with hematemesis.,"Both transcripts are very close to the target, with the dictionary version missing one ""e"" but neither clearly better or worse overall.",HELPS,
