text,category,alias,verdict,gain,heard_without_dict,heard_with_dict,sentence
siponimod,drug,sih-PON-ih-mod,HURTS,-0.278,sipinemod,c p o n e a mod,Please take your siponimod as prescribed.
ulcerative colitis,clinical,UL-ser-a-tiv ko-LYE-tis,HURTS,-0.278,ulcerative colitis,ulseretel collitiz,The patient was diagnosed with ulcerative colitis.
fluconazole,drug,floo-KON-a-zole,HURTS,-0.28,fluconazole,flow con asole,Please take your fluconazole as prescribed.
ketorolac,drug,kee-TOR-oh-lak,HURTS,-0.28,kitorolac,key tour o leg,Please take your ketorolac as prescribed.
anisocoria,clinical,an-EYE-so-KOR-ee-ah,HURTS,-0.28,anisocoria,an eye so coria,The patient was diagnosed with anisocoria.
erysipelas,clinical,er-ih-SIP-eh-las,HURTS,-0.28,erysipelas,erydeesipehloss,The patient was diagnosed with erysipelas.
laparoscopy,clinical,lap-ah-ROS-koh-pee,HURTS,-0.28,laparoscopy,lab a ros co p,The patient was diagnosed with laparoscopy.
dapagliflozin,drug,dap-ah-gli-FLOH-zin,HURTS,-0.284,dabaglyflozin,dab uh gly flows in,Please take your dapagliflozin as prescribed.
ocrelizumab,drug,ok-re-LIZ-uh-mab,HURTS,-0.286,ocrelizumab,okreli liz uh mab,Please take your ocrelizumab as prescribed.
anemia,clinical,ah-NEE-mee-ah,HURTS,-0.286,anemia,aneemeea,The patient was diagnosed with anemia.
hilus,anatomical,HY-lus,HURTS,-0.286,hilus,high luss,The biopsy shows inflammation in the hilus.
cyclosporine,drug,SYE-kloe-SPOR-een,HURTS,-0.29,cyclosporin,ca chloe spore ene,Please take your cyclosporine as prescribed.
eosinophilia,clinical,ee-oh-sin-oh-FIL-ee-ah,HURTS,-0.29,eosinophilia,e o sin o phil e ah,The patient was diagnosed with eosinophilia.
parasitemia,clinical,par-ah-sih-TEE-mee-ah,HURTS,-0.294,paracitemia,par uh ceteemia,The patient was diagnosed with parasitemia.
hypomagnesemia,clinical,hy-poh-mag-neh-SEE-mee-ah,HURTS,-0.297,hypomagnesemia,high po mag ne see mi a,The patient was diagnosed with hypomagnesemia.
medulla,anatomical,meh-DOOL-ah,HURTS,-0.3,medulla,uh medulla uh,The biopsy shows inflammation in the medulla.
sinusoids,anatomical,SIN-yoo-soydz,HURTS,-0.3,sinusoids,sinyoosoidz,The biopsy shows inflammation in the sinusoids.
nifedipine,drug,ny-FED-i-peen,HURTS,-0.304,nifedipine,nifefed ipeen,Please take your nifedipine as prescribed.
valproic acid,drug,val-PROH-ik AS-id,HURTS,-0.308,valproic acid,valpro egg id,Please take your valproic acid as prescribed.
dutasteride,drug,doo-TAS-ter-ide,HURTS,-0.308,dutasteride,dutazzterraceid,Please take your dutasteride as prescribed.
peptic ulcer,clinical,PEP-tik UL-ser,HURTS,-0.308,peptic ulcer,peptic oolsair,The patient was diagnosed with peptic ulcer.
peritoneum,anatomical,per-ih-toh-NEE-um,HURTS,-0.308,peritoneum,per day to ne um,The biopsy shows inflammation in the peritoneum.
nitroglycerin,drug,ny-tro-GLIS-er-in,HURTS,-0.31,nitroglycerin,nitroglis air in,Please take your nitroglycerin as prescribed.
umeclidinium,drug,yoo-meh-kli-DIN-ee-um,HURTS,-0.311,um clidinium,you med clidedan e um,Please take your umeclidinium as prescribed.
osteomyelitis,clinical,os-tee-oh-my-eh-LY-tis,HURTS,-0.312,osteomyelitis,oz t o my e lie tis,The patient was diagnosed with osteomyelitis.
pulmonary trunk,anatomical,PUL-mah-nair-ee trunk,HURTS,-0.314,pulmonary trunk,pul ma nier de trunk,The biopsy shows inflammation in the pulmonary trunk.
celiotomy,clinical,see-lee-OT-oh-mee,HURTS,-0.323,ciliatomy,see li a o me,The patient was diagnosed with celiotomy.
imipenem,drug,i-mi-PEN-em,HURTS,-0.33,amipenem,i me pen m and,Please take your imipenem as prescribed.
bisacodyl,drug,bis-AK-oh-dil,HURTS,-0.332,bisacodl,buys ache odil,Please take your bisacodyl as prescribed.
clonidine,drug,KLON-i-deen,HURTS,-0.333,clonidine,clona id and,Please take your clonidine as prescribed.
acyclovir,drug,ay-SY-kloh-veer,HURTS,-0.333,acyclovir,icee clovier,Please take your acyclovir as prescribed.
haloperidol,drug,hal-oh-PER-ih-dol,HURTS,-0.333,haloperidol,hallow per eye doll,Please take your haloperidol as prescribed.
lithium,drug,LITH-ee-um,HURTS,-0.333,lithium,lit e um,Please take your lithium as prescribed.
carbidopa,drug,KAR-bi-DOE-pa,HURTS,-0.333,carbidopa,car by do pi,Please take your carbidopa as prescribed.
hypertriglyceridemia,clinical,HY-per-try-GLIS-er-ih-DEE-mee-ah,HURTS,-0.333,hypertriglyceridemia,high pertriglyssairideemeeah,The patient was diagnosed with hypertriglyceridemia.
hyperesthesia,clinical,HY-per-es-THEE-zhah,HURTS,-0.333,hyperesthesia,hi per es thee da,The patient was diagnosed with hyperesthesia.
discectomy,clinical,dis-EK-toh-mee,HURTS,-0.333,discectomy,dis ag tomy,The patient was diagnosed with discectomy.
physis,anatomical,FY-sis,HURTS,-0.333,physis,fy sis,The biopsy shows inflammation in the physis.
ileum,anatomical,IL-ee-um,HURTS,-0.333,ileum,i l e m,The biopsy shows inflammation in the ileum.
mexiletine,drug,mex-IL-eh-teen,HURTS,-0.342,mexlatine,mexl a,Please take your mexiletine as prescribed.
myocardial infarction,clinical,my-oh-KAR-dee-al in-FARK-shun,HURTS,-0.346,myocardial infarction,my boh car dee all in farc shun,The patient was diagnosed with myocardial infarction.
tigecycline,drug,tye-ge-SY-kleen,HURTS,-0.349,tygecycline,tyge say clean,Please take your tigecycline as prescribed.
atrial fibrillation,clinical,AY-tree-al fib-ri-LAY-shun,HURTS,-0.349,atrial fibrillation,a tree al fi bri la shan,The patient was diagnosed with atrial fibrillation.
viremia,clinical,vy-REE-mee-ah,HURTS,-0.351,variamia,fy ree me uh,The patient was diagnosed with viremia.
thoracotomy,clinical,thor-ah-KOT-oh-mee,HURTS,-0.357,thoracotomy,thor uh cot oh me,The patient was diagnosed with thoracotomy.
parenchyma,anatomical,pah-REN-kih-mah,HURTS,-0.364,parenchyma,pa ren ki ma,The biopsy shows inflammation in the parenchyma.
Lipitor,drug,LIP-i-tor,HURTS,-0.368,lipitor,lip eye tour,Please take your Lipitor as prescribed.
evolocumab,drug,e-VOL-oh-kyoo-mab,HURTS,-0.368,evolocumab,evaloqmob,Please take your evolocumab as prescribed.
acidosis,clinical,ah-sih-DOH-sis,HURTS,-0.368,acidosis,ahseedohsis,The patient was diagnosed with acidosis.
synovium,anatomical,sih-NOH-vee-um,HURTS,-0.368,synovium,sai no v um,The biopsy shows inflammation in the synovium.
dexamethasone,drug,dex-uh-METH-uh-zone,HURTS,-0.375,dexamethasone,dex uh meth uh zone,Please take your dexamethasone as prescribed.
zoledronic acid,drug,zoh-leh-DRON-ik AS-id,HURTS,-0.375,zoledronic acid,zola dron eek i d,Please take your zoledronic acid as prescribed.
synovia,anatomical,sih-NOH-vee-ah,HURTS,-0.375,synovia,syno v uh,The biopsy shows inflammation in the synovia.
polycythemia,clinical,pol-ee-sy-THEE-mee-ah,HURTS,-0.379,polycythemia,poleesaytheemeeah,The patient was diagnosed with polycythemia.
tachycardia,clinical,tak-ee-KAR-dee-ah,HURTS,-0.385,tachycardia,teck e car di a,The patient was diagnosed with tachycardia.
bradycardia,clinical,brad-ee-KAR-dee-ah,HURTS,-0.385,bradycardia,brad e car d uh,The patient was diagnosed with bradycardia.
hypokalemia,clinical,hy-poh-kah-LEE-mee-ah,HURTS,-0.385,hypokalemia,high pocali mia,The patient was diagnosed with hypokalemia.
meloxicam,drug,mel-OK-sih-kam,HURTS,-0.391,meloxicam,mel okay c cam,Please take your meloxicam as prescribed.
dysarthria,clinical,dis-AR-three-ah,HURTS,-0.391,dysarthria,dis r three a,The patient was diagnosed with dysarthria.
laparotomy,clinical,lap-ah-ROT-oh-mee,HURTS,-0.391,laparotomy,lap i ro o me,The patient was diagnosed with laparotomy.
ureterostomy,clinical,yoo-REE-ter-OS-toh-mee,HURTS,-0.394,ureterostomy,yureeterasstosstoemee,The patient was diagnosed with ureterostomy.
levalbuterol,drug,lev-al-BOO-ter-ol,HURTS,-0.4,levalbuterol,levo boo teruss ol,Please take your levalbuterol as prescribed.
pleurisy,clinical,PLOO-rih-see,HURTS,-0.4,pleurisy,pleu ree see,The patient was diagnosed with pleurisy.
cellulitis,clinical,sel-yoo-LY-tis,HURTS,-0.4,cellulitis,cel yu dis,The patient was diagnosed with cellulitis.
impetigo,clinical,im-peh-TY-goh,HURTS,-0.4,impetigo,m pay tie go,The patient was diagnosed with impetigo.
cartilage,anatomical,KAR-tih-lij,HURTS,-0.4,cartilage,caroty lees,The biopsy shows inflammation in the cartilage.
cardia,anatomical,KAR-dee-ah,HURTS,-0.412,cardia,and cardi i,The biopsy shows inflammation in the cardia.
isosorbide dinitrate,drug,eye-so-SOR-bide dye-NYE-trate,HURTS,-0.417,isosorbide dinitrate,eye so ser by die nite trite,Please take your isosorbide dinitrate as prescribed.
septicemia,clinical,sep-tih-SEE-mee-ah,HURTS,-0.417,septicemia,septahseemeeah,The patient was diagnosed with septicemia.
niacin,drug,NYE-a-sin,HURTS,-0.429,niacin,naiuhsin,Please take your niacin as prescribed.
hypercalcemia,clinical,HY-per-kal-SEE-mee-ah,HURTS,-0.429,hypercalcemia,high per cal cee me uh,The patient was diagnosed with hypercalcemia.
nephrostomy,clinical,neh-FROS-toh-mee,HURTS,-0.429,nephrostomy,knee frost toe me,The patient was diagnosed with nephrostomy.
colposcopy,clinical,kol-POS-koh-pee,HURTS,-0.44,colposcopy,kol cause coppy,The patient was diagnosed with colposcopy.
polyethylene glycol,drug,pol-ee-ETH-ih-leen GLY-kol,HURTS,-0.442,polyethylene glycol,poll e s i leam gly call,Please take your polyethylene glycol as prescribed.
myelitis,clinical,MY-eh-LY-tis,HURTS,-0.444,myelitis,myuhleetiz,The patient was diagnosed with myelitis.
diaphysis,anatomical,dy-AF-ih-sis,HURTS,-0.444,diaphysis,di f isis,The biopsy shows inflammation in the diaphysis.
cyclophosphamide,drug,sy-kloh-FOS-fa-mide,HURTS,-0.455,cyclophosphamide,seeklofosphameday,Please take your cyclophosphamide as prescribed.
excoriation,clinical,eks-kor-ee-AY-shun,HURTS,-0.455,excoriation,excareishun,The patient was diagnosed with excoriation.
anus,anatomical,AY-nus,HURTS,-0.455,anus,a noose,The biopsy shows inflammation in the anus.
proteinuria,clinical,PROH-tee-NYOO-ree-ah,HURTS,-0.462,proteinuria,protee newreeuh,The patient was diagnosed with proteinuria.
anuria,clinical,an-YOO-ree-ah,HURTS,-0.467,anuria,an you re,The patient was diagnosed with anuria.
sutura,anatomical,soo-TOO-rah,HURTS,-0.467,sutura,so too ra,The biopsy shows inflammation in the sutura.
dysuria,clinical,dis-YOO-ree-ah,HURTS,-0.474,dysuria,disyoureeahh,The patient was diagnosed with dysuria.
dyskinesia,clinical,dis-kih-NEE-zhah,HURTS,-0.474,dyskinesia,dischemia,The patient was diagnosed with dyskinesia.
dystonia,clinical,dis-TOE-nee-ah,HURTS,-0.474,dystonia,distonee uh,The patient was diagnosed with dystonia.
aqueduct,anatomical,AK-weh-dukt,HURTS,-0.474,aqueduct,akaway duct,The biopsy shows inflammation in the aqueduct.
cystoscopy,clinical,sis-TOS-koh-pee,HURTS,-0.478,cystoscopy,sistoz co pee,The patient was diagnosed with cystoscopy.
appendicitis,clinical,a-pen-dih-SYE-tis,HURTS,-0.481,appendicitis,a pen d say tiz,The patient was diagnosed with appendicitis.
radiculopathy,clinical,rah-DIK-yoo-LOP-ah-thee,HURTS,-0.484,radiculopathy,radeekyoolopuhthee,The patient was diagnosed with radiculopathy.
esophagectomy,clinical,eh-sof-ah-JEK-toh-mee,HURTS,-0.484,esophagectomy,uh so fa jec to me,The patient was diagnosed with esophagectomy.
lichenification,clinical,ly-ken-ih-fih-KAY-shun,HURTS,-0.489,lickenification,lie ken e fae ca shun,The patient was diagnosed with lichenification.
guanfacine,drug,GWAHN-fa-seen,HURTS,-0.5,guanfacine,guaan feh seen,Please take your guanfacine as prescribed.
ureterolithiasis,clinical,yoo-REH-ter-oh-lih-THY-ah-sis,HURTS,-0.5,ureterolithiasis,you rad terrace o lee die aw sis,The patient was diagnosed with ureterolithiasis.
myelopathy,clinical,MY-eh-LOP-ah-thee,HURTS,-0.5,myelopathy,my uh lop uh v,The patient was diagnosed with myelopathy.
anomia,clinical,ah-NOH-mee-ah,HURTS,-0.5,anomia,a no me uh,The patient was diagnosed with anomia.
craniotomy,clinical,KRAY-nee-OT-oh-mee,HURTS,-0.5,craniotomy,cray nee aw toe me,The patient was diagnosed with craniotomy.
ustekinumab,drug,US-te-KIN-ue-mab,HURTS,-0.509,estacinum,s t can you,Please take your ustekinumab as prescribed.
hypoalbuminemia,clinical,HY-poh-al-BYOO-mih-NEE-mee-ah,HURTS,-0.512,hypoalbuminemia,hi po al ba yu me me me me,The patient was diagnosed with hypoalbuminemia.
hypoglycemia,clinical,hy-poh-gly-SEE-mee-ah,HURTS,-0.515,hypoglycemia,high po glai see me a,The patient was diagnosed with hypoglycemia.
felodipine,drug,fe-LOE-di-peen,HURTS,-0.517,felodipine,fee low uh deep een,Please take your felodipine as prescribed.
exemestane,drug,ex-e-MES-tane,HURTS,-0.52,exemestane,x e m i s t a n,Please take your exemestane as prescribed.
pia mater,anatomical,PEE-ah MAH-ter,HURTS,-0.52,pia mater,p uh mod terrace,The biopsy shows inflammation in the pia mater.
abiraterone,drug,a-bir-A-ter-one,HURTS,-0.524,abiraterona,uh bi uh birana,Please take your abiraterone as prescribed.
paresthesia,clinical,par-es-THEE-zhah,HURTS,-0.524,paresthesia,par as jaw,The patient was diagnosed with paresthesia.
dysesthesia,clinical,dis-es-THEE-zhah,HURTS,-0.524,dysesthesia,dis as zha,The patient was diagnosed with dysesthesia.
hypophosphatemia,clinical,hy-poh-fos-fah-TEE-mee-ah,HURTS,-0.526,hypophosphatemia,high pro fo za te me a,The patient was diagnosed with hypophosphatemia.
mesothelium,anatomical,meh-zoh-THEE-lee-um,HURTS,-0.529,mesothelium,and umm nizotheelee umm,The biopsy shows inflammation in the mesothelium.
nephritis,clinical,neh-FRY-tis,HURTS,-0.545,nephritis,me fried toes,The patient was diagnosed with nephritis.
neuropathy,clinical,nyoo-ROP-ah-thee,HURTS,-0.545,neuropathy,new rope o v,The patient was diagnosed with neuropathy.
hypermagnesemia,clinical,hy-per-mag-neh-SEE-mee-ah,HURTS,-0.545,hypermagnesemia,highper mag mee see neeuhhhhh,The patient was diagnosed with hypermagnesemia.
epidural,anatomical,ep-ih-DUR-al,HURTS,-0.556,epidural,up i deral,The biopsy shows inflammation in the epidural.
aneurysm,clinical,AN-yoo-riz-um,HURTS,-0.579,aneurysm,anyoorizuhm,The patient was diagnosed with aneurysm.
cystitis,clinical,sis-TYE-tis,HURTS,-0.579,cystitis,sis tye tis,The patient was diagnosed with cystitis.
vas deferens,anatomical,vas DEF-er-enz,HURTS,-0.583,vest defense,vest thhh ah,The biopsy shows inflammation in the vas deferens.
encephalopathy,clinical,en-SEH-fah-LOP-ah-thee,HURTS,-0.613,encephalopathy,un say fa lop a v,The patient was diagnosed with encephalopathy.
neuritis,clinical,nyoo-RY-tis,HURTS,-0.684,neuritis,myoo ry tiz,The patient was diagnosed with neuritis.
aphasia,clinical,ah-FAY-zhah,HURTS,-0.733,aphasia,a fei ja,The patient was diagnosed with aphasia.
epithelium,anatomical,eh-pih-THEE-lee-um,HURTS,-0.739,epithelium,and a pble um,The biopsy shows inflammation in the epithelium.
meninges,anatomical,men-IN-jeez,HURTS,-0.8,meninges,um,The biopsy shows inflammation in the meninges.
tildrakizumab,drug,TIL-dra-KIZ-ue-mab,WASH,0.079,til jrakiza mabes,til dra kiz you mab,Please take your tildrakizumab as prescribed.
oculomotor,anatomical,OK-yoo-loh-MOH-tor,WASH,0.077,bendy ocular motor,ohqueuelowmotor,The biopsy shows inflammation in the oculomotor.
ozanimod,drug,oh-ZAN-ih-mod,WASH,0.074,osinimod,ozan amod,Please take your ozanimod as prescribed.
athetosis,clinical,ATH-eh-TOE-sis,WASH,0.074,emphitosis,afatosis,The patient was diagnosed with athetosis.
insulin degludec,drug,IN-suh-lin deh-GLOO-dek,WASH,0.072,insolink to gluded best,ensulindy gludad,Please take your insulin degludec as prescribed.
colesevelam,drug,koh-leh-SEV-eh-lam,WASH,0.071,coolest sev a lum,coolest sev a lam,Please take your colesevelam as prescribed.
safinamide,drug,sa-FIN-a-mide,WASH,0.07,sefnam andas,sefina and midas,Please take your safinamide as prescribed.
endosteum,anatomical,en-DOS-tee-um,WASH,0.068,endum,en doos tee um,The biopsy shows inflammation in the endosteum.
fumarate,drug,FYOO-muh-rate,WASH,0.066,fumerate,fuma rate,Please take your fumarate as prescribed.
space of Disse,anatomical,spays of DIS,WASH,0.066,space of dissas,space of diss,The biopsy shows inflammation in the space of Disse.
nizatidine,drug,ny-ZAT-ih-deen,WASH,0.064,nazadine,nizaatine,Please take your nizatidine as prescribed.
isoniazid,drug,eye-so-NY-a-zid,WASH,0.059,assanie it,eye so nay a zed,Please take your isoniazid as prescribed.
letrozole,drug,LET-roh-zole,WASH,0.059,letrozol,letrozole,Please take your letrozole as prescribed.
oxaliplatin,drug,ok-SAL-i-plat-in,WASH,0.059,auxallid platins,oxalat platins,Please take your oxaliplatin as prescribed.
trochlear,anatomical,TROK-lee-ar,WASH,0.059,trochlea,trochlear,The biopsy shows inflammation in the trochlear.
vermiform,anatomical,VER-mih-form,WASH,0.058,vermaform,vermi form,The biopsy shows inflammation in the vermiform.
ciclesonide,drug,sik-LEH-soh-nide,WASH,0.057,psychoside,sickles so en a day,Please take your ciclesonide as prescribed.
metoprolol tartrate,drug,me-TOE-pro-lol TAR-trate,WASH,0.053,metaprolol tartrate,metoprolol tartrate,Please take your metoprolol tartrate as prescribed.
cephalexin,drug,sef-ah-LEX-in,WASH,0.053,cephlexin,cephalexin,Please take your cephalexin as prescribed.
ligamentum venosum,anatomical,lig-ah-MEN-tum veh-NOH-sum,WASH,0.053,a ligamentum venosum,ligamentum venosum,The biopsy shows inflammation in the ligamentum venosum.
dulaglutide,drug,doo-lah-GLOO-tide,WASH,0.051,dile glutide,dulog glutide,Please take your dulaglutide as prescribed.
formoterol,drug,for-MOH-ter-ol,WASH,0.051,for motorola,for moteroasl,Please take your formoterol as prescribed.
imatinib,drug,i-MAT-in-ib,WASH,0.051,matid,imatin iodide,Please take your imatinib as prescribed.
vincristine,drug,vin-KRIS-teen,WASH,0.048,vincristin,vincristine,Please take your vincristine as prescribed.
alfuzosin,drug,al-FOO-zoh-sin,WASH,0.046,afuzocine,alfoosin,Please take your alfuzosin as prescribed.
plicae,anatomical,PLY-see,WASH,0.045,placky,pla c,The biopsy shows inflammation in the plicae.
metformin,drug,met-FOR-min,WASH,0.043,met for mine,met for min,Please take your metformin as prescribed.
levothyroxine,drug,lee-voh-thigh-ROX-een,WASH,0.043,lavothyroxin,lebothyroxine,Please take your levothyroxine as prescribed.
tadalafil,drug,tuh-DAF-ih-lil,WASH,0.042,talifio,dafila,Please take your tadalafil as prescribed.
clozapine,drug,KLOZ-ah-peen,WASH,0.041,clothes up pnn,claws up pnn,Please take your clozapine as prescribed.
abatacept,drug,a-BAT-a-sept,WASH,0.041,adatapsept,abadasept,Please take your abatacept as prescribed.
piperacillin tazobactam,drug,pi-PER-a-sil-in ta-zo-BAK-tam,WASH,0.031,pypericillin tazabactum,pie per asil in tazobactam,Please take your piperacillin tazobactam as prescribed.
bevacizumab,drug,beh-va-KIZ-oo-mab,WASH,0.03,babasiba mab,bay va tiz ooo mab,Please take your bevacizumab as prescribed.
fasciculation,clinical,fa-SIK-yoo-LAY-shun,WASH,0.026,diagmost fasciculation,faseegulation,The patient was diagnosed with fasciculation.
phrenic,anatomical,FREN-ik,WASH,0.026,frec,fren ik,The biopsy shows inflammation in the phrenic.
fluticasone,drug,floo-TIK-a-sone,WASH,0.024,flukey sonas,flo a sonas,Please take your fluticasone as prescribed.
etodolac,drug,ee-TOH-doh-lak,WASH,0.023,atolac,eetoetoelac,Please take your etodolac as prescribed.
mycophenolate,drug,MYE-koe-FEN-oh-late,WASH,0.023,microphone latest,my co fan o late,Please take your mycophenolate as prescribed.
pyrazinamide,drug,py-ra-ZIN-a-mide,WASH,0.021,perazinvaidis,pi razzin abide,Please take your pyrazinamide as prescribed.
bumetanide,drug,byoo-MET-a-nide,WASH,0.01,boom at tea night,biomed enate,Please take your bumetanide as prescribed.
sympathectomy,clinical,sim-pah-THEK-toh-mee,WASH,0.01,symphetomy,sympfaectomy,The patient was diagnosed with sympathectomy.
epiphysis,anatomical,eh-PIF-ih-sis,WASH,0.005,apophysis,and depiphysis,The biopsy shows inflammation in the epiphysis.
phenazopyridine,drug,fen-az-oh-PYR-i-deen,WASH,0.002,fenda zappier adinas,fen opire i dean,Please take your phenazopyridine as prescribed.
amlodipine,drug,am-LOE-di-peen,WASH,0.0,amlodipine,amlodipine,Please take your amlodipine as prescribed.
losartan,drug,loe-SAR-tan,WASH,0.0,lozartan,lozartan,Please take your losartan as prescribed.
valsartan,drug,val-SAR-tan,WASH,0.0,valsartan,valsartan,Please take your valsartan as prescribed.
enalapril,drug,e-NAL-a-pril,WASH,0.0,enalapril,enalapril,Please take your enalapril as prescribed.
ramipril,drug,ra-MI-pril,WASH,0.0,ramipril,ramipril,Please take your ramipril as prescribed.
hydrochlorothiazide,drug,hy-dro-KLOR-oh-THY-a-zide,WASH,0.0,hydrochlorothiazide,hydrochlorothiazide,Please take your hydrochlorothiazide as prescribed.
torsemide,drug,TOR-se-mide,WASH,0.0,torsemide,torsemide,Please take your torsemide as prescribed.
verapamil,drug,ver-AP-a-mil,WASH,0.0,verapamil,verapamil,Please take your verapamil as prescribed.
doxazosin,drug,dok-SAZ-oh-sin,WASH,0.0,doxazosin,doxazosin,Please take your doxazosin as prescribed.
terazosin,drug,ter-AZ-oh-sin,WASH,0.0,tarzozin,tarzosen,Please take your terazosin as prescribed.
prazosin,drug,PRAZ-oh-sin,WASH,0.0,prazos in,prazos in,Please take your prazosin as prescribed.
sotalol,drug,SOH-ta-lol,WASH,0.0,sotalol,sotalol,Please take your sotalol as prescribed.
isosorbide mononitrate,drug,eye-so-SOR-bide mon-oh-NYE-trate,WASH,0.0,isosorbide mononitrate,isosorbide mononitrate,Please take your isosorbide mononitrate as prescribed.
gemfibrozil,drug,jem-FYE-broh-zil,WASH,0.0,gemfibrozil,gemfibrozil,Please take your gemfibrozil as prescribed.
rosuvastatin,drug,roh-soo-va-STAT-in,WASH,0.0,roseve statin,roseve statin,Please take your rosuvastatin as prescribed.
glipizide,drug,GLIP-i-zide,WASH,0.0,glipizide,glipizide,Please take your glipizide as prescribed.
pioglitazone,drug,py-oh-GLIT-ah-zone,WASH,0.0,pioglitazone,pioglitazone,Please take your pioglitazone as prescribed.
alogliptin,drug,al-oh-GLIP-tin,WASH,0.0,alogliptin,alogliptin,Please take your alogliptin as prescribed.
exenatide,drug,ex-EN-ah-tide,WASH,0.0,exenatide,exenatide,Please take your exenatide as prescribed.
acarbose,drug,AY-kar-bose,WASH,0.0,acarbose,acarbose,Please take your acarbose as prescribed.
repaglinide,drug,reh-PAG-li-nide,WASH,0.0,repaglinide,repaglinide,Please take your repaglinide as prescribed.
amoxicillin,drug,ah-MOX-i-sil-in,WASH,0.0,amoxicillin,amoxicillin,Please take your amoxicillin as prescribed.
azithromycin,drug,ah-ZITH-roh-my-sin,WASH,0.0,azithromycin,azithromycin,Please take your azithromycin as prescribed.
metronidazole,drug,me-tro-NI-da-zole,WASH,0.0,metronidazole,metronidazole,Please take your metronidazole as prescribed.
sulfamethoxazole trimethoprim,drug,sul-fa-meth-OX-a-zole try-METH-oh-prim,WASH,0.0,sulfamethoxazole trimethoprim,sulfamethoxazole trimethoprim,Please take your sulfamethoxazole trimethoprim as prescribed.
vancomycin,drug,van-ko-MY-sin,WASH,0.0,vancomycin,vancomycin,Please take your vancomycin as prescribed.
levofloxacin,drug,lee-vo-FLOX-a-sin,WASH,0.0,levofloxacin,levofloxacin,Please take your levofloxacin as prescribed.
moxifloxacin,drug,mox-i-FLOX-a-sin,WASH,0.0,moxifloxacin,moxifloxacin,Please take your moxifloxacin as prescribed.
cefdinir,drug,SEF-di-ner,WASH,0.0,seftin,seftin,Please take your cefdinir as prescribed.
cefaclor,drug,SEF-a-klor,WASH,0.0,cephaclor,cephaclor,Please take your cefaclor as prescribed.
tobramycin,drug,toe-bra-MY-sin,WASH,0.0,tobramycin,tobramycin,Please take your tobramycin as prescribed.
amikacin,drug,am-i-KAY-sin,WASH,0.0,amikacin,amikacin,Please take your amikacin as prescribed.
daptomycin,drug,dap-toe-MY-sin,WASH,0.0,daptomycin,daptomycin,Please take your daptomycin as prescribed.
ketoconazole,drug,kee-toe-KON-a-zole,WASH,0.0,ketoconazole,ketoconazole,Please take your ketoconazole as prescribed.
famciclovir,drug,fam-SY-kloh-veer,WASH,0.0,fancy clovir,fancy clovir,Please take your famciclovir as prescribed.
nabumetone,drug,na-BYOO-meh-tone,WASH,0.0,nibitone,nibayomed tone,Please take your nabumetone as prescribed.
oxaprozin,drug,ok-sah-PROH-zin,WASH,0.0,oxaprozen,oxaprozen,Please take your oxaprozin as prescribed.
gabapentin,drug,gab-ah-PEN-tin,WASH,0.0,gabapentin,gabapentin,Please take your gabapentin as prescribed.
duloxetine,drug,doo-LOK-seh-teen,WASH,0.0,duloxetine,duloxetine,Please take your duloxetine as prescribed.
carbamazepine,drug,kar-bah-MAZ-eh-peen,WASH,0.0,carbamazepine,carbamazepine,Please take your carbamazepine as prescribed.
lamotrigine,drug,lah-MOH-trih-jeen,WASH,0.0,lamotrigine,lamotrigine,Please take your lamotrigine as prescribed.
famotidine,drug,fam-OH-tih-deen,WASH,0.0,famotidine,famotidine,Please take your famotidine as prescribed.
granisetron,drug,gran-IS-eh-tron,WASH,0.0,granatron,gran is a tron,Please take your granisetron as prescribed.
prochlorperazine,drug,proh-klor-PER-ah-zeen,WASH,0.0,prochlorperazine,prochlorperazine,Please take your prochlorperazine as prescribed.
lactulose,drug,LAK-tyoo-lose,WASH,0.0,like to lose,like to lose,Please take your lactulose as prescribed.
glycopyrrolate,drug,gly-koh-PIR-oh-late,WASH,0.0,glycopyrrolate,glycopyrrolate,Please take your glycopyrrolate as prescribed.
indacaterol,drug,in-da-KA-ter-ol,WASH,0.0,indacaterol,indacaterol,Please take your indacaterol as prescribed.
mometasone,drug,moh-MEH-ta-sone,WASH,0.0,mometasone,mometasone,Please take your mometasone as prescribed.
beclomethasone,drug,beh-kloh-MEH-tha-sone,WASH,0.0,beclomethasone,beclomethasone,Please take your beclomethasone as prescribed.
montelukast,drug,mon-teh-LOO-kast,WASH,0.0,montelucast,montelucast,Please take your montelukast as prescribed.
omalizumab,drug,oh-ma-LIZ-oo-mab,WASH,0.0,omalizumab,omalizumab,Please take your omalizumab as prescribed.
fluoxetine,drug,floo-OK-seh-teen,WASH,0.0,floxity and,floxity and,Please take your fluoxetine as prescribed.
trazodone,drug,TRAZ-oh-done,WASH,0.0,trazodone,trazodone,Please take your trazodone as prescribed.
clomipramine,drug,klo-MIP-rah-meen,WASH,0.0,clomipramine,clomipramine,Please take your clomipramine as prescribed.
protriptyline,drug,pro-TRIP-tih-leen,WASH,0.0,protriptyline,protriptyline,Please take your protriptyline as prescribed.
phenelzine,drug,FEN-el-zeen,WASH,0.0,fenezin,fenezin,Please take your phenelzine as prescribed.
isocarboxazid,drug,eye-so-kar-BOK-sah-zid,WASH,0.0,iso car box acid,iso car box acid,Please take your isocarboxazid as prescribed.
